,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,population
0,ABW,Aruba,2020-03-13,2,2,0,0,106766.0
1,ABW,Aruba,2020-03-20,4,2,0,0,106766.0
2,ABW,Aruba,2020-03-24,12,8,0,0,106766.0
3,ABW,Aruba,2020-03-25,17,5,0,0,106766.0
4,ABW,Aruba,2020-03-26,19,2,0,0,106766.0
5,ABW,Aruba,2020-03-27,28,9,0,0,106766.0
6,ABW,Aruba,2020-03-28,28,0,0,0,106766.0
7,ABW,Aruba,2020-03-29,28,0,0,0,106766.0
8,ABW,Aruba,2020-03-30,50,22,0,0,106766.0
9,ABW,Aruba,2020-04-01,55,5,0,0,106766.0
10,ABW,Aruba,2020-04-02,55,0,0,0,106766.0
11,ABW,Aruba,2020-04-03,60,5,0,0,106766.0
12,ABW,Aruba,2020-04-04,62,2,0,0,106766.0
13,ABW,Aruba,2020-04-05,64,2,0,0,106766.0
14,ABW,Aruba,2020-04-06,64,0,0,0,106766.0
15,ABW,Aruba,2020-04-07,71,7,0,0,106766.0
16,ABW,Aruba,2020-04-08,74,3,0,0,106766.0
17,ABW,Aruba,2020-04-09,77,3,0,0,106766.0
18,ABW,Aruba,2020-04-10,82,5,0,0,106766.0
19,ABW,Aruba,2020-04-11,86,4,0,0,106766.0
20,ABW,Aruba,2020-04-12,92,6,0,0,106766.0
21,ABW,Aruba,2020-04-13,92,0,0,0,106766.0
22,ABW,Aruba,2020-04-14,92,0,0,0,106766.0
23,ABW,Aruba,2020-04-15,92,0,0,0,106766.0
24,ABW,Aruba,2020-04-16,93,1,1,1,106766.0
25,ABW,Aruba,2020-04-17,95,2,1,0,106766.0
26,ABW,Aruba,2020-04-18,96,1,2,1,106766.0
27,ABW,Aruba,2020-04-19,96,0,2,0,106766.0
28,ABW,Aruba,2020-04-20,97,1,2,0,106766.0
29,ABW,Aruba,2020-04-21,97,0,2,0,106766.0
30,ABW,Aruba,2020-04-22,97,0,2,0,106766.0
31,ABW,Aruba,2020-04-23,100,3,2,0,106766.0
32,ABW,Aruba,2020-04-24,100,0,2,0,106766.0
33,ABW,Aruba,2020-04-25,100,0,2,0,106766.0
34,ABW,Aruba,2020-04-26,100,0,2,0,106766.0
35,ABW,Aruba,2020-04-27,100,0,2,0,106766.0
36,ABW,Aruba,2020-04-28,100,0,2,0,106766.0
37,ABW,Aruba,2020-04-29,100,0,2,0,106766.0
38,ABW,Aruba,2020-04-30,100,0,2,0,106766.0
39,ABW,Aruba,2020-05-01,100,0,2,0,106766.0
40,ABW,Aruba,2020-05-02,100,0,2,0,106766.0
41,ABW,Aruba,2020-05-03,100,0,2,0,106766.0
42,ABW,Aruba,2020-05-04,100,0,2,0,106766.0
43,ABW,Aruba,2020-05-05,100,0,2,0,106766.0
44,ABW,Aruba,2020-05-06,100,0,2,0,106766.0
45,ABW,Aruba,2020-05-07,101,1,2,0,106766.0
46,ABW,Aruba,2020-05-08,101,0,3,1,106766.0
47,ABW,Aruba,2020-05-09,101,0,3,0,106766.0
48,ABW,Aruba,2020-05-10,101,0,3,0,106766.0
49,ABW,Aruba,2020-05-11,101,0,3,0,106766.0
50,ABW,Aruba,2020-05-12,101,0,3,0,106766.0
51,ABW,Aruba,2020-05-13,101,0,3,0,106766.0
52,ABW,Aruba,2020-05-14,101,0,3,0,106766.0
53,ABW,Aruba,2020-05-15,101,0,3,0,106766.0
54,ABW,Aruba,2020-05-16,101,0,3,0,106766.0
55,ABW,Aruba,2020-05-17,101,0,3,0,106766.0
56,ABW,Aruba,2020-05-18,101,0,3,0,106766.0
57,ABW,Aruba,2020-05-19,101,0,3,0,106766.0
58,ABW,Aruba,2020-05-20,101,0,3,0,106766.0
59,ABW,Aruba,2020-05-21,101,0,3,0,106766.0
60,AFG,Afghanistan,2019-12-31,0,0,0,0,38928341.0
61,AFG,Afghanistan,2020-01-01,0,0,0,0,38928341.0
62,AFG,Afghanistan,2020-01-02,0,0,0,0,38928341.0
63,AFG,Afghanistan,2020-01-03,0,0,0,0,38928341.0
64,AFG,Afghanistan,2020-01-04,0,0,0,0,38928341.0
65,AFG,Afghanistan,2020-01-05,0,0,0,0,38928341.0
66,AFG,Afghanistan,2020-01-06,0,0,0,0,38928341.0
67,AFG,Afghanistan,2020-01-07,0,0,0,0,38928341.0
68,AFG,Afghanistan,2020-01-08,0,0,0,0,38928341.0
69,AFG,Afghanistan,2020-01-09,0,0,0,0,38928341.0
70,AFG,Afghanistan,2020-01-10,0,0,0,0,38928341.0
71,AFG,Afghanistan,2020-01-11,0,0,0,0,38928341.0
72,AFG,Afghanistan,2020-01-12,0,0,0,0,38928341.0
73,AFG,Afghanistan,2020-01-13,0,0,0,0,38928341.0
74,AFG,Afghanistan,2020-01-14,0,0,0,0,38928341.0
75,AFG,Afghanistan,2020-01-15,0,0,0,0,38928341.0
76,AFG,Afghanistan,2020-01-16,0,0,0,0,38928341.0
77,AFG,Afghanistan,2020-01-17,0,0,0,0,38928341.0
78,AFG,Afghanistan,2020-01-18,0,0,0,0,38928341.0
79,AFG,Afghanistan,2020-01-19,0,0,0,0,38928341.0
80,AFG,Afghanistan,2020-01-20,0,0,0,0,38928341.0
81,AFG,Afghanistan,2020-01-21,0,0,0,0,38928341.0
82,AFG,Afghanistan,2020-01-22,0,0,0,0,38928341.0
83,AFG,Afghanistan,2020-01-23,0,0,0,0,38928341.0
84,AFG,Afghanistan,2020-01-24,0,0,0,0,38928341.0
85,AFG,Afghanistan,2020-01-25,0,0,0,0,38928341.0
86,AFG,Afghanistan,2020-01-26,0,0,0,0,38928341.0
87,AFG,Afghanistan,2020-01-27,0,0,0,0,38928341.0
88,AFG,Afghanistan,2020-01-28,0,0,0,0,38928341.0
89,AFG,Afghanistan,2020-01-29,0,0,0,0,38928341.0
90,AFG,Afghanistan,2020-01-30,0,0,0,0,38928341.0
91,AFG,Afghanistan,2020-01-31,0,0,0,0,38928341.0
92,AFG,Afghanistan,2020-02-01,0,0,0,0,38928341.0
93,AFG,Afghanistan,2020-02-02,0,0,0,0,38928341.0
94,AFG,Afghanistan,2020-02-03,0,0,0,0,38928341.0
95,AFG,Afghanistan,2020-02-04,0,0,0,0,38928341.0
96,AFG,Afghanistan,2020-02-05,0,0,0,0,38928341.0
97,AFG,Afghanistan,2020-02-06,0,0,0,0,38928341.0
98,AFG,Afghanistan,2020-02-07,0,0,0,0,38928341.0
99,AFG,Afghanistan,2020-02-08,0,0,0,0,38928341.0
100,AFG,Afghanistan,2020-02-09,0,0,0,0,38928341.0
101,AFG,Afghanistan,2020-02-10,0,0,0,0,38928341.0
102,AFG,Afghanistan,2020-02-11,0,0,0,0,38928341.0
103,AFG,Afghanistan,2020-02-12,0,0,0,0,38928341.0
104,AFG,Afghanistan,2020-02-13,0,0,0,0,38928341.0
105,AFG,Afghanistan,2020-02-14,0,0,0,0,38928341.0
106,AFG,Afghanistan,2020-02-15,0,0,0,0,38928341.0
107,AFG,Afghanistan,2020-02-16,0,0,0,0,38928341.0
108,AFG,Afghanistan,2020-02-17,0,0,0,0,38928341.0
109,AFG,Afghanistan,2020-02-18,0,0,0,0,38928341.0
110,AFG,Afghanistan,2020-02-19,0,0,0,0,38928341.0
111,AFG,Afghanistan,2020-02-20,0,0,0,0,38928341.0
112,AFG,Afghanistan,2020-02-21,0,0,0,0,38928341.0
113,AFG,Afghanistan,2020-02-22,0,0,0,0,38928341.0
114,AFG,Afghanistan,2020-02-23,0,0,0,0,38928341.0
115,AFG,Afghanistan,2020-02-24,0,0,0,0,38928341.0
116,AFG,Afghanistan,2020-02-25,1,1,0,0,38928341.0
117,AFG,Afghanistan,2020-02-26,1,0,0,0,38928341.0
118,AFG,Afghanistan,2020-02-27,1,0,0,0,38928341.0
119,AFG,Afghanistan,2020-02-28,1,0,0,0,38928341.0
120,AFG,Afghanistan,2020-02-29,1,0,0,0,38928341.0
121,AFG,Afghanistan,2020-03-01,1,0,0,0,38928341.0
122,AFG,Afghanistan,2020-03-02,1,0,0,0,38928341.0
123,AFG,Afghanistan,2020-03-08,4,3,0,0,38928341.0
124,AFG,Afghanistan,2020-03-11,7,3,0,0,38928341.0
125,AFG,Afghanistan,2020-03-15,10,3,0,0,38928341.0
126,AFG,Afghanistan,2020-03-16,16,6,0,0,38928341.0
127,AFG,Afghanistan,2020-03-17,21,5,0,0,38928341.0
128,AFG,Afghanistan,2020-03-18,22,1,0,0,38928341.0
129,AFG,Afghanistan,2020-03-19,22,0,0,0,38928341.0
130,AFG,Afghanistan,2020-03-20,22,0,0,0,38928341.0
131,AFG,Afghanistan,2020-03-21,24,2,0,0,38928341.0
132,AFG,Afghanistan,2020-03-22,24,0,0,0,38928341.0
133,AFG,Afghanistan,2020-03-23,34,10,0,0,38928341.0
134,AFG,Afghanistan,2020-03-24,40,6,1,1,38928341.0
135,AFG,Afghanistan,2020-03-25,42,2,1,0,38928341.0
136,AFG,Afghanistan,2020-03-26,75,33,1,0,38928341.0
