video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"kDvNvJ9iRLA","하.. 편집자가 선을 넘네요 ..","2019-12-22T10:36:30.000Z","UCMVC92EOs9yDJG5JS-CMesQ","양팡 YangPang","23","19.23.12","양팡|양팡유튜브|팡튜브|가족시트콤|양팡가족|양팡가족시트콤|양팡언니|현실남매|현실자매|짬식이|브이로그|VLog|먹방|부산|부산유튜버","775502","19122","837","1750","https://i.ytimg.com/vi/kDvNvJ9iRLA/default.jpg","False","False","구독하기 : https://goo.gl/4JUQn2스폰문의 : eunz1nara@gmail.com무삭제 풀버전 채널 : https://goo.gl/NjeAzk- http://bit.ly/yangpang : 양팡 아프리카TV 개인방송국- http://bit.ly/pangtube : 양팡 YouTube 채널- http://bit.ly/pangstargram : 양팡 공식 인스타그램- http://bit.ly/pangsbook : 양팡 공식 페이스북좋아요 구독 많이 부탁드립니다업로드 시간은 랜덤입니다!"
"5PFK10lp7rk","[12月의 무도] 영화같은 일이 여기서는 실제로 일어난다.  극한알바 2 infinite challenge","2019-12-22T09:30:13.000Z","UChY4PXxJI0aJYsGT1X6INWA","옛능 : MBC 옛날 예능 다시보기","24","19.23.12","MBC|유재석|마봉춘|다시보기|VOD|FULL|웃긴|코미디|무한도전|무도|무도레전드|추억|옛날|고전|예능|드라마|예전|90년대|클래식|레전드|명작|주말|엠비씨|재방|무리한 도전|무모한 도전|무한도전 레전드|정준하|박명수|정형돈|하하|노홍철|길|전진|광희|조세호|양세형|김태호|시즌2|오분순삭|놀면뭐하니|런닝맨|5분|특집|마지막회|1회|막방|infinite challenge|running man|극한알바|차승원|탄광|태백|삼시세끼|광부","235680","2361","145","480","https://i.ytimg.com/vi/5PFK10lp7rk/default.jpg","False","False","[무도의 12월은 어땠을까?]탄광에 온 재석와 특별게스트 승원!아무것도 모르고 아직까지는 해맑은 둘 드디어 탄공에 입성하는데시간 멈춘거 아니죠..? 시계가 고장났나 ?엄청난 어둠 속에서 일하는 둘 극한 노동 후 점심도 꿀맛.....정말 현업 분들 진심으로 존경합니다....방영일자 : 20141206무한도전 1화부터 FULL버전 다시 보기 (2006년 5월 6일~2018년 3월 31일) → ▶ WAVVE : https://m.wavve.com/player/vod?conten...▶ iMBC : http://m.imbc.com/Vod/VodPlay?progCod...#무한도전 #무도 #무한도전레전드 #유재석 #박명수 #김태호 #노홍철"
"sJRGfopwk-A","24시간동안 한식 VS 양식!! 정말 한식이 더 맛있을까?!","2019-12-22T09:00:16.000Z","UClzB2iZ5jPoTNz0S-QU6Wiw","파뿌리","24","19.23.12","파뿌리|강호이|진렬이|노랭이|예능|옥탑방|반지하|지하|땅굴|벙커|굽네 시카고피자|파티|연말 파티","761326","13913","610","3536","https://i.ytimg.com/vi/sJRGfopwk-A/default.jpg","False","False","※ 노랭이 PD : 같이 먹으면 더 맛있음※ 강호이 : 근데 나 한복 잘 어울리지 않음?※ 진렬이 : 넥타이 좀 매줘.......시청자들과 깊은 소통을 지향하는 버라이어티 채널 파뿌리입니다! 채널 구독하셔서 강호이, 진렬이, 그리고 노랭이PD의 유쾌한 매력에 빠져보세요!!재밌게 보셨다면 좋아요 구독 댓글 쌈박하게 날려주시구요오!~★파뿌리와 더욱 가깝게 소통하기! (MEET POPFREE)★[페이스북] 미방영분, 자잘한 일상영상 : https://www.facebook.com/POPFREE1992/[인스타그램] 콘텐츠 예고편, 스틸컷, 자잘한 일상사진 : 개업 준비중!(Coming soon!)[트위터] 트위터로는 뭘 하면 좋을까? : 개업 준비중!(Coming soon!)[이메일] 콘텐츠요청, 팬 아트, 보내주고픈 말들 : popfree@sandboxnetwork.net[팬사서함] 굳이 보내주시겠다면 사양하지 않겠어..! 흐흐 서울특별시 강남구 테헤란로 518 15층 샌드박스 네트워크 받는 사람명 - 파뿌리※이 영상은 굽네의 지원을 받아 제작되었습니다"
"-1haggE-1jw","레전드 사이다썰 모음집 #4  ㅣ호돌이 영상툰","2019-12-22T02:45:01.000Z","UCHj3qb7u4WUfUrjlOJtPdKA","호돌이 영상툰","1","19.23.12","[none]","168446","2731","146","523","https://i.ytimg.com/vi/-1haggE-1jw/default.jpg","False","False","▲ 배경음악: Track : 강아지같아Music by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/tPxR7npln9wTrack : Walk on EggshellsMusic by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/aMNIjg7xSl4Track : 조별과제Music by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/wLuWmPrJkSkTrack : What Does It Taste Like?Music by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/vKQtAquFsUkTrack : 장난감전쟁Music by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/Fghad8y86rITrack : Go with soft stepsMusic by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/xPkMTat8JyQTrack : Shy little girlMusic by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/xPpVj-k42WcTrack : 뒤뚱뒤뚱Music by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/X_88SH4Z_CQTrack : 웃기고있네Music by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/aY7VLF71pNMTrack : 댕청댕청Music by 브금대통령Music provided by 브금대통령Watch : https://www.youtube.com/watch?v=5qEI_xTPa-QTrack : 슈퍼댕댕이Music by 브금대통령Music provided by 브금대통령Watch : https://youtu.be/Pa_T_jWPs-MTrack : 우아한 나의산책Music by 브금대통령 Music provided by 브금대통령Watch : https://youtu.be/i-SqEknyz1Y"
"3LgQmPUK_Ik","집결하는 美 함대! 金 떨고 있나?","2019-12-22T19:30:02.000Z","UCbgqDFODvh-q38ouzoKKkVA","신인균의 국방TV","25","19.23.12","신인균|신인균의 국방TV|신인균의 군사TV|신인균TV|신인균의 안보TV|알기쉬운무기백과|데일리디펜스|디펜스브리핑|역사를 바꾼 무기|알무백|중앙군사위원회|전원회의|Fight Tonight|SM-3|MD|미사일방어|요격|하워드로렌젠|7함대|항공모함|인도태평양전략|태평양사령부|코피작전|Fire & Fury|화염과 분노|이지스함|컴뱃샌트|리벳조인트|코브라볼|RC-13S|RC-135U|RC-135W|EP-3|U-2|MQ-4|MQ-1|MQ-9|글로벌호크|크리스마스선물|ICBM|SLBM|다탄두","251862","23472","619","614","https://i.ytimg.com/vi/3LgQmPUK_Ik/default.jpg","False","False","설명"
"cwccvYsWaGg","갑각류에 미친남자 코코넛크랩 잡아먹기","2019-12-22T13:23:11.000Z","UC5oft5dVf43M2cFmhpJLVGQ","애주가TV참PD","26","19.23.12","먹방|술먹방|Mukbang|애주가|참피디|혼술|술안주","469519","6631","201","955","https://i.ytimg.com/vi/cwccvYsWaGg/default.jpg","False","False","사이판 로타섬에서 직접 잡아먹은 코코넛크랩!!#코코넛크랩#참또갑#로타섬#애주가티비 #술안주광고나 협찬은 영상에 모두 표시하고 있으며,광고 협찬표시가 없는 리뷰는 모두 사비로 구매하여 솔직하게리뷰하는 것입니다.참피디의 진심https://youtu.be/zTCdwBHEk2U참피디 Q&Ahttps://youtu.be/9-HH0ThE58c광고 섭외 문의(답변을 못드려도 양해부탁드립니다.) MAIL - ilovechampd@gmail.com INSTAGRAM - ilovechampd해당 영상의 저작권은 CJ E&M DIA TV에 귀속되어 있으며 해당영상을 영리목적으로 사용시 제재를 받을 수 있습니다. 또한 비영리목적으로 사용시 반드시 출처를 남겨주시기 바랍니다"
"yrNI472_6PE","[#도깨비] 도깨비 11화 10분 만에 몰아보기(써니에게 정체를 들킨 저승이 이동욱과 보스몹, 파국 박중헌의 등장) | #다시보는도깨비 | #Diggle","2019-12-22T15:00:11.000Z","UCsRIHt5FkbGc6cQtCxt-ufA","tvN D ENT","24","19.23.12","도깨비|디글|diggle|도깨비 공유|공유|공유 김고은|도깨비 다시보기|Goblin|The goblin|Gongyoo|lee dong wook|Yoo In Na|김신|김고은|이동욱|저승사자|도깨비 이동욱|유인나|이동욱 유인나|피치커플|tvN|지은탁|써니|육성재|드라마 도깨비|사랑의 물리학|유덕화|도깨비 1화|도깨비 2화|도깨비 결말|저승이|도깨비OST|크러쉬|에일리|도깨비 명장면|도깨비 메이킹|공유 이동욱|DOKEBI|삼신할매|호텔델루나|이엘|정해인|82년생 김지영|도깨비 써니|유인나 이동욱|진심이 닿다|유인나 써니|도깨비 비서|염혜란|토크가 하고 싶어서|이동욱 공유|조물주픽|drama marathon|dokebi marathon|김병철|박중헌|파국이다","141123","0","0","174","https://i.ytimg.com/vi/yrNI472_6PE/default.jpg","False","True","#다시보는도깨비 #Diggle도깨비 11화 10분 만에 몰아보기(써니에게 정체를 들킨 저승이 이동욱과 보스몹, 파국 박중헌의 등장)더 많은꿀잼 영상은? ▶ tvN D CLASSIC : https://bit.ly/2KT666f"
"PGg29u4t2vY","냉탕과 온탕을 오가는 지옥의 뒤끝파티 (feat.슈퍼콘 챌린지)","2019-12-22T13:10:30.000Z","UCtckgmUcpzqGnzcs7xEqMzQ","자이언트 펭TV","15","19.23.12","자이언트펭|펭수|슈퍼콘|펭수 슈퍼콘|슈퍼콘챌린지|빙그레|빙그레 슈퍼콘챌린지|자이언트펭tv|손흥민|자이언트펭 슈퍼콘","519010","26322","177","2985","https://i.ytimg.com/vi/PGg29u4t2vY/default.jpg","False","False","드디어 만났다!펭수와 슈퍼콘, 슈퍼콘과 펭수"
"veMu1ubSu3E","교실에 몰래 간식을 숨겨 들어가는 멋진 방법 ll 123 GO!가 소개하는 학교 생활 꿀팁과 장난","2019-12-22T01:45:02.000Z","UCU-7SdeUYlujznoTRHDttew","123 GO! Korean","24","19.23.12","DIY|만들기|공예|장난|장난치기|도전|도전하기|재밌는|웃긴|123GO!|123 go|123go|친구들|친근한|튜토리얼|어떻게|하는 법|마술|트릭DIY|크래프트|장난 치기|챌린지|재미있는|친구|친구와 함께|방법|꿀팁|휴가|여행|여행하기|재미|친한|하우투","135539","1198","337","140","https://i.ytimg.com/vi/veMu1ubSu3E/default.jpg","False","False","구독하기: http://bit.ly/31g55Yu무슨 일을 하든 간에, 허기는 언제든 찾아올 수 있어요. 기발한 꿀팁과 함께, 간식을 최대한 빨리 즐길 수 있는 방법을 보여드립니다. 비록 수업 중이라 하더라도요.이 기발한 학교 간식 꿀팁으로 꼬르륵 거리는 배를 달래 줄 준비가 됐나요? 그러면 학교 친구들과 이 팁을 공유해서 간식을 즐기세요!더 많은 멋진 비디오를 원하시면, 123 Go 유튜브 채널을 구독하는 걸 잊지 마세요. 맛있게 드세요, 친구들!#재미있는 #학교생활팁 #DIY음악 에피데믹 사운드/Epidemic Sound   https://www.epidemicsound.com/자료 출처:  https://www.depositphotos.com https://www.shutterstock.com"
"a_kBAp_Cq68","흰살생선 초밥 개인 소장! 현감독 먹플갱어, 현동은! [사장님 귀는 당나귀 귀 , Boss Ears].20191208","2019-12-08T09:41:01.000Z","UCK1sVuXaDvJeNwl9noN5nOA","KBS Entertain","24","19.23.12","South|Korea|Entertainment|Funny|KBS|KBS1|KBS2","230805","1083","130","297","https://i.ytimg.com/vi/a_kBAp_Cq68/default.jpg","False","False","흰살생선 초밥 개인 소장! 현감독 먹플갱어, 현동은! [사장님 귀는 당나귀 귀 , Boss Ears].20191208"
