"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Brazil","2010","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2011","190755799",""
"Brazil","2010","Total","Both Sexes","0","Census - de jure - complete tabulation","Final figure, complete","2011","2713244",""
"Brazil","2010","Total","Both Sexes","0 - 4","Census - de jure - complete tabulation","Final figure, complete","2011","13796158",""
"Brazil","2010","Total","Both Sexes","1","Census - de jure - complete tabulation","Final figure, complete","2011","2694909",""
"Brazil","2010","Total","Both Sexes","1 - 4","Census - de jure - complete tabulation","Final figure, complete","2011","11082914",""
"Brazil","2010","Total","Both Sexes","2","Census - de jure - complete tabulation","Final figure, complete","2011","2726957",""
"Brazil","2010","Total","Both Sexes","3","Census - de jure - complete tabulation","Final figure, complete","2011","2790782",""
"Brazil","2010","Total","Both Sexes","4","Census - de jure - complete tabulation","Final figure, complete","2011","2870266",""
"Brazil","2010","Total","Both Sexes","5","Census - de jure - complete tabulation","Final figure, complete","2011","2931988",""
"Brazil","2010","Total","Both Sexes","5 - 9","Census - de jure - complete tabulation","Final figure, complete","2011","14969375",""
"Brazil","2010","Total","Both Sexes","6","Census - de jure - complete tabulation","Final figure, complete","2011","2894419",""
"Brazil","2010","Total","Both Sexes","7","Census - de jure - complete tabulation","Final figure, complete","2011","2959192",""
"Brazil","2010","Total","Both Sexes","8","Census - de jure - complete tabulation","Final figure, complete","2011","2995612",""
"Brazil","2010","Total","Both Sexes","9","Census - de jure - complete tabulation","Final figure, complete","2011","3188164",""
"Brazil","2010","Total","Both Sexes","10","Census - de jure - complete tabulation","Final figure, complete","2011","3505216",""
"Brazil","2010","Total","Both Sexes","10 - 14","Census - de jure - complete tabulation","Final figure, complete","2011","17166761",""
"Brazil","2010","Total","Both Sexes","11","Census - de jure - complete tabulation","Final figure, complete","2011","3352844",""
"Brazil","2010","Total","Both Sexes","12","Census - de jure - complete tabulation","Final figure, complete","2011","3402242",""
"Brazil","2010","Total","Both Sexes","13","Census - de jure - complete tabulation","Final figure, complete","2011","3412748",""
"Brazil","2010","Total","Both Sexes","14","Census - de jure - complete tabulation","Final figure, complete","2011","3493711",""
"Brazil","2010","Total","Both Sexes","15","Census - de jure - complete tabulation","Final figure, complete","2011","3574929",""
"Brazil","2010","Total","Both Sexes","15 - 19","Census - de jure - complete tabulation","Final figure, complete","2011","16990872",""
"Brazil","2010","Total","Both Sexes","16","Census - de jure - complete tabulation","Final figure, complete","2011","3410704",""
"Brazil","2010","Total","Both Sexes","17","Census - de jure - complete tabulation","Final figure, complete","2011","3372241",""
"Brazil","2010","Total","Both Sexes","18","Census - de jure - complete tabulation","Final figure, complete","2011","3367172",""
"Brazil","2010","Total","Both Sexes","19","Census - de jure - complete tabulation","Final figure, complete","2011","3265826",""
"Brazil","2010","Total","Both Sexes","20","Census - de jure - complete tabulation","Final figure, complete","2011","3389729",""
"Brazil","2010","Total","Both Sexes","20 - 24","Census - de jure - complete tabulation","Final figure, complete","2011","17245192",""
"Brazil","2010","Total","Both Sexes","21","Census - de jure - complete tabulation","Final figure, complete","2011","3421736",""
"Brazil","2010","Total","Both Sexes","22","Census - de jure - complete tabulation","Final figure, complete","2011","3510497",""
"Brazil","2010","Total","Both Sexes","23","Census - de jure - complete tabulation","Final figure, complete","2011","3420254",""
"Brazil","2010","Total","Both Sexes","24","Census - de jure - complete tabulation","Final figure, complete","2011","3502976",""
"Brazil","2010","Total","Both Sexes","25","Census - de jure - complete tabulation","Final figure, complete","2011","3455045",""
"Brazil","2010","Total","Both Sexes","25 - 29","Census - de jure - complete tabulation","Final figure, complete","2011","17104414",""
"Brazil","2010","Total","Both Sexes","26","Census - de jure - complete tabulation","Final figure, complete","2011","3298218",""
"Brazil","2010","Total","Both Sexes","27","Census - de jure - complete tabulation","Final figure, complete","2011","3467072",""
"Brazil","2010","Total","Both Sexes","28","Census - de jure - complete tabulation","Final figure, complete","2011","3515646",""
"Brazil","2010","Total","Both Sexes","29","Census - de jure - complete tabulation","Final figure, complete","2011","3368433",""
"Brazil","2010","Total","Both Sexes","30","Census - de jure - complete tabulation","Final figure, complete","2011","3548802",""
"Brazil","2010","Total","Both Sexes","30 - 34","Census - de jure - complete tabulation","Final figure, complete","2011","15744512",""
"Brazil","2010","Total","Both Sexes","31","Census - de jure - complete tabulation","Final figure, complete","2011","3128244",""
"Brazil","2010","Total","Both Sexes","32","Census - de jure - complete tabulation","Final figure, complete","2011","3165646",""
"Brazil","2010","Total","Both Sexes","33","Census - de jure - complete tabulation","Final figure, complete","2011","2982696",""
"Brazil","2010","Total","Both Sexes","34","Census - de jure - complete tabulation","Final figure, complete","2011","2919124",""
"Brazil","2010","Total","Both Sexes","35","Census - de jure - complete tabulation","Final figure, complete","2011","2990924",""
"Brazil","2010","Total","Both Sexes","35 - 39","Census - de jure - complete tabulation","Final figure, complete","2011","13888579",""
"Brazil","2010","Total","Both Sexes","36","Census - de jure - complete tabulation","Final figure, complete","2011","2763213",""
"Brazil","2010","Total","Both Sexes","37","Census - de jure - complete tabulation","Final figure, complete","2011","2740185",""
"Brazil","2010","Total","Both Sexes","38","Census - de jure - complete tabulation","Final figure, complete","2011","2712447",""
"Brazil","2010","Total","Both Sexes","39","Census - de jure - complete tabulation","Final figure, complete","2011","2681810",""
"Brazil","2010","Total","Both Sexes","40","Census - de jure - complete tabulation","Final figure, complete","2011","2880375",""
"Brazil","2010","Total","Both Sexes","40 - 44","Census - de jure - complete tabulation","Final figure, complete","2011","13009364",""
"Brazil","2010","Total","Both Sexes","41","Census - de jure - complete tabulation","Final figure, complete","2011","2551532",""
"Brazil","2010","Total","Both Sexes","42","Census - de jure - complete tabulation","Final figure, complete","2011","2623948",""
"Brazil","2010","Total","Both Sexes","43","Census - de jure - complete tabulation","Final figure, complete","2011","2450558",""
"Brazil","2010","Total","Both Sexes","44","Census - de jure - complete tabulation","Final figure, complete","2011","2502951",""
"Brazil","2010","Total","Both Sexes","45","Census - de jure - complete tabulation","Final figure, complete","2011","2590374",""
"Brazil","2010","Total","Both Sexes","45 - 49","Census - de jure - complete tabulation","Final figure, complete","2011","11833352",""
"Brazil","2010","Total","Both Sexes","46","Census - de jure - complete tabulation","Final figure, complete","2011","2451471",""
"Brazil","2010","Total","Both Sexes","47","Census - de jure - complete tabulation","Final figure, complete","2011","2360274",""
"Brazil","2010","Total","Both Sexes","48","Census - de jure - complete tabulation","Final figure, complete","2011","2243495",""
"Brazil","2010","Total","Both Sexes","49","Census - de jure - complete tabulation","Final figure, complete","2011","2187738",""
"Brazil","2010","Total","Both Sexes","50","Census - de jure - complete tabulation","Final figure, complete","2011","2297566",""
"Brazil","2010","Total","Both Sexes","50 - 54","Census - de jure - complete tabulation","Final figure, complete","2011","10140402",""
"Brazil","2010","Total","Both Sexes","51","Census - de jure - complete tabulation","Final figure, complete","2011","1992141",""
"Brazil","2010","Total","Both Sexes","52","Census - de jure - complete tabulation","Final figure, complete","2011","2057233",""
"Brazil","2010","Total","Both Sexes","53","Census - de jure - complete tabulation","Final figure, complete","2011","1909856",""
"Brazil","2010","Total","Both Sexes","54","Census - de jure - complete tabulation","Final figure, complete","2011","1883606",""
"Brazil","2010","Total","Both Sexes","55","Census - de jure - complete tabulation","Final figure, complete","2011","1858999",""
"Brazil","2010","Total","Both Sexes","55 - 59","Census - de jure - complete tabulation","Final figure, complete","2011","8276221",""
"Brazil","2010","Total","Both Sexes","56","Census - de jure - complete tabulation","Final figure, complete","2011","1750252",""
"Brazil","2010","Total","Both Sexes","57","Census - de jure - complete tabulation","Final figure, complete","2011","1597682",""
"Brazil","2010","Total","Both Sexes","58","Census - de jure - complete tabulation","Final figure, complete","2011","1573915",""
"Brazil","2010","Total","Both Sexes","59","Census - de jure - complete tabulation","Final figure, complete","2011","1495373",""
"Brazil","2010","Total","Both Sexes","60","Census - de jure - complete tabulation","Final figure, complete","2011","1566297",""
"Brazil","2010","Total","Both Sexes","60 - 64","Census - de jure - complete tabulation","Final figure, complete","2011","6509120",""
"Brazil","2010","Total","Both Sexes","61","Census - de jure - complete tabulation","Final figure, complete","2011","1288356",""
"Brazil","2010","Total","Both Sexes","62","Census - de jure - complete tabulation","Final figure, complete","2011","1310710",""
"Brazil","2010","Total","Both Sexes","63","Census - de jure - complete tabulation","Final figure, complete","2011","1210464",""
"Brazil","2010","Total","Both Sexes","64","Census - de jure - complete tabulation","Final figure, complete","2011","1133293",""
"Brazil","2010","Total","Both Sexes","65","Census - de jure - complete tabulation","Final figure, complete","2011","1141931",""
"Brazil","2010","Total","Both Sexes","65 - 69","Census - de jure - complete tabulation","Final figure, complete","2011","4840810",""
"Brazil","2010","Total","Both Sexes","66","Census - de jure - complete tabulation","Final figure, complete","2011","1023099",""
"Brazil","2010","Total","Both Sexes","67","Census - de jure - complete tabulation","Final figure, complete","2011","957797",""
"Brazil","2010","Total","Both Sexes","68","Census - de jure - complete tabulation","Final figure, complete","2011","890398",""
"Brazil","2010","Total","Both Sexes","69","Census - de jure - complete tabulation","Final figure, complete","2011","827585",""
"Brazil","2010","Total","Both Sexes","70","Census - de jure - complete tabulation","Final figure, complete","2011","927625",""
"Brazil","2010","Total","Both Sexes","70 - 74","Census - de jure - complete tabulation","Final figure, complete","2011","3741636",""
"Brazil","2010","Total","Both Sexes","71","Census - de jure - complete tabulation","Final figure, complete","2011","743247",""
"Brazil","2010","Total","Both Sexes","72","Census - de jure - complete tabulation","Final figure, complete","2011","723155",""
"Brazil","2010","Total","Both Sexes","73","Census - de jure - complete tabulation","Final figure, complete","2011","670376",""
"Brazil","2010","Total","Both Sexes","74","Census - de jure - complete tabulation","Final figure, complete","2011","677233",""
"Brazil","2010","Total","Both Sexes","75","Census - de jure - complete tabulation","Final figure, complete","2011","613165",""
"Brazil","2010","Total","Both Sexes","75 - 79","Census - de jure - complete tabulation","Final figure, complete","2011","2563447",""
"Brazil","2010","Total","Both Sexes","76","Census - de jure - complete tabulation","Final figure, complete","2011","526636",""
"Brazil","2010","Total","Both Sexes","77","Census - de jure - complete tabulation","Final figure, complete","2011","499839",""
"Brazil","2010","Total","Both Sexes","78","Census - de jure - complete tabulation","Final figure, complete","2011","486145",""
"Brazil","2010","Total","Both Sexes","79","Census - de jure - complete tabulation","Final figure, complete","2011","437662",""
"Brazil","2010","Total","Both Sexes","80","Census - de jure - complete tabulation","Final figure, complete","2011","451251",""
"Brazil","2010","Total","Both Sexes","80 - 84","Census - de jure - complete tabulation","Final figure, complete","2011","1666972",""
"Brazil","2010","Total","Both Sexes","81","Census - de jure - complete tabulation","Final figure, complete","2011","343062",""
"Brazil","2010","Total","Both Sexes","82","Census - de jure - complete tabulation","Final figure, complete","2011","323647",""
"Brazil","2010","Total","Both Sexes","83","Census - de jure - complete tabulation","Final figure, complete","2011","291414",""
"Brazil","2010","Total","Both Sexes","84","Census - de jure - complete tabulation","Final figure, complete","2011","257598",""
"Brazil","2010","Total","Both Sexes","85","Census - de jure - complete tabulation","Final figure, complete","2011","226646",""
"Brazil","2010","Total","Both Sexes","85 - 89","Census - de jure - complete tabulation","Final figure, complete","2011","819483",""
"Brazil","2010","Total","Both Sexes","86","Census - de jure - complete tabulation","Final figure, complete","2011","190220",""
"Brazil","2010","Total","Both Sexes","87","Census - de jure - complete tabulation","Final figure, complete","2011","160662",""
"Brazil","2010","Total","Both Sexes","88","Census - de jure - complete tabulation","Final figure, complete","2011","131759",""
"Brazil","2010","Total","Both Sexes","89","Census - de jure - complete tabulation","Final figure, complete","2011","110196",""
"Brazil","2010","Total","Both Sexes","90","Census - de jure - complete tabulation","Final figure, complete","2011","105480",""
"Brazil","2010","Total","Both Sexes","90 - 94","Census - de jure - complete tabulation","Final figure, complete","2011","326558",""
"Brazil","2010","Total","Both Sexes","91","Census - de jure - complete tabulation","Final figure, complete","2011","73154",""
"Brazil","2010","Total","Both Sexes","92","Census - de jure - complete tabulation","Final figure, complete","2011","60910",""
"Brazil","2010","Total","Both Sexes","93","Census - de jure - complete tabulation","Final figure, complete","2011","48073",""
"Brazil","2010","Total","Both Sexes","94","Census - de jure - complete tabulation","Final figure, complete","2011","38941",""
"Brazil","2010","Total","Both Sexes","95","Census - de jure - complete tabulation","Final figure, complete","2011","31832",""
"Brazil","2010","Total","Both Sexes","95 - 99","Census - de jure - complete tabulation","Final figure, complete","2011","98335",""
"Brazil","2010","Total","Both Sexes","96","Census - de jure - complete tabulation","Final figure, complete","2011","24089",""
"Brazil","2010","Total","Both Sexes","97","Census - de jure - complete tabulation","Final figure, complete","2011","18008",""
"Brazil","2010","Total","Both Sexes","98","Census - de jure - complete tabulation","Final figure, complete","2011","13709",""
"Brazil","2010","Total","Both Sexes","99","Census - de jure - complete tabulation","Final figure, complete","2011","10697",""
"Brazil","2010","Total","Both Sexes","100 +","Census - de jure - complete tabulation","Final figure, complete","2011","24236",""
"Brazil","2010","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2011","93406990",""
"Brazil","2010","Total","Male","0","Census - de jure - complete tabulation","Final figure, complete","2011","1378532",""
"Brazil","2010","Total","Male","0 - 4","Census - de jure - complete tabulation","Final figure, complete","2011","7016987",""
"Brazil","2010","Total","Male","1","Census - de jure - complete tabulation","Final figure, complete","2011","1369425",""
"Brazil","2010","Total","Male","1 - 4","Census - de jure - complete tabulation","Final figure, complete","2011","5638455",""
"Brazil","2010","Total","Male","2","Census - de jure - complete tabulation","Final figure, complete","2011","1387143",""
"Brazil","2010","Total","Male","3","Census - de jure - complete tabulation","Final figure, complete","2011","1419295",""
"Brazil","2010","Total","Male","4","Census - de jure - complete tabulation","Final figure, complete","2011","1462592",""
"Brazil","2010","Total","Male","5","Census - de jure - complete tabulation","Final figure, complete","2011","1493253",""
"Brazil","2010","Total","Male","5 - 9","Census - de jure - complete tabulation","Final figure, complete","2011","7624144",""
"Brazil","2010","Total","Male","6","Census - de jure - complete tabulation","Final figure, complete","2011","1472635",""
"Brazil","2010","Total","Male","7","Census - de jure - complete tabulation","Final figure, complete","2011","1506828",""
"Brazil","2010","Total","Male","8","Census - de jure - complete tabulation","Final figure, complete","2011","1528003",""
"Brazil","2010","Total","Male","9","Census - de jure - complete tabulation","Final figure, complete","2011","1623425",""
"Brazil","2010","Total","Male","10","Census - de jure - complete tabulation","Final figure, complete","2011","1793146",""
"Brazil","2010","Total","Male","10 - 14","Census - de jure - complete tabulation","Final figure, complete","2011","8725413",""
"Brazil","2010","Total","Male","11","Census - de jure - complete tabulation","Final figure, complete","2011","1709291",""
"Brazil","2010","Total","Male","12","Census - de jure - complete tabulation","Final figure, complete","2011","1727220",""
"Brazil","2010","Total","Male","13","Census - de jure - complete tabulation","Final figure, complete","2011","1728588",""
"Brazil","2010","Total","Male","14","Census - de jure - complete tabulation","Final figure, complete","2011","1767168",""
"Brazil","2010","Total","Male","15","Census - de jure - complete tabulation","Final figure, complete","2011","1802172",""
