"Informazioni cronologiche","Come valuti l'utilità dell'infografica?","Come valuti la chiarezza dell' infografica?","Quanto valuti la bellezza dell'infografica?","Come valuti l'intuitività dell'infografica?","Quanto è stata informativa l'infografica?","Come valuti complessivamente l'infografica?"
"2020/06/11 10:23:17 AM EET","5","5","4","5","6","5"
"2020/06/11 4:41:23 PM EET","4","5","6","6","5","5"
"2020/06/11 5:58:09 PM EET","6","6","6","5","6","6"
"2020/06/11 6:19:58 PM EET","5","4","5","3","5","5"
"2020/06/11 6:34:29 PM EET","4","4","5","3","5","5"
"2020/06/12 5:53:03 PM EET","3","3","3","5","2","3"
"2020/06/12 6:27:59 PM EET","4","6","5","5","5","5"
"2020/06/12 9:40:46 PM EET","3","6","6","4","6","5"
"2020/06/13 6:42:47 PM EET","6","5","4","5","6","5"
"2020/06/13 7:50:18 PM EET","6","6","5","6","6","6"
"2020/06/14 3:20:03 PM EET","6","5","4","4","5","4"
"2020/06/14 8:01:05 PM EET","4","6","5","5","4","5"
"2020/06/14 8:06:09 PM EET","4","4","3","4","4","4"
"2020/06/14 8:13:04 PM EET","5","6","5","4","6","5"
"2020/06/14 9:54:22 PM EET","3","4","2","3","2","3"
